iter	RMSE
0	12018.74211
1	11206.44061
2	10502.37538
3	9880.225258
4	9336.628535
5	8864.070659
6	8437.331404
7	8077.690448
8	7723.425652
9	7433.658779
10	7173.723099
11	6965.649998
12	6771.033007
13	6602.17759
14	6447.217757
15	6311.671429
16	6196.216619
17	6103.193753
18	6005.957245
19	5922.873208
20	5840.063522
21	5780.497848
22	5720.6715
23	5667.280357
24	5621.743108
25	5583.287724
26	5535.573706
27	5499.063723
28	5444.063461
29	5417.149881
30	5369.529265
31	5340.687879
32	5306.731776
33	5280.643532
34	5259.300956
35	5237.679431
36	5222.357037
37	5205.78118
38	5180.168896
39	5167.176013
40	5149.39855
41	5132.638084
42	5113.296944
43	5095.765187
44	5080.055467
45	5067.555156
46	5043.200897
47	5024.371908
48	5003.743923
49	4988.432333
50	4973.013129
51	4958.344529
52	4950.397048
53	4931.456293
54	4919.092293
55	4898.810023
56	4879.170465
57	4859.026044
58	4848.43955
59	4830.664166
60	4820.254638
61	4807.593213
62	4796.576093
63	4786.633507
64	4774.512547
65	4766.302207
66	4758.125385
67	4749.425974
68	4730.390346
69	4710.635872
70	4700.151611
71	4687.741175
72	4681.402023
73	4672.619821
74	4660.64251
75	4652.102648
76	4639.248114
77	4630.505129
78	4622.163453
79	4610.736035
80	4599.612694
81	4582.90233
82	4571.069706
83	4562.141623
84	4555.711546
85	4541.982768
86	4536.538724
87	4531.107547
88	4522.599462
89	4514.101366
90	4507.502981
91	4494.728652
92	4486.298065
93	4483.025071
94	4473.120587
95	4467.596087
96	4461.638975
97	4450.837413
98	4440.621243
99	4435.868224
100	4426.054319
101	4419.244121
102	4410.555106
103	4405.163656
104	4400.248007
105	4391.94618
106	4384.228877
107	4380.024059
108	4372.604124
109	4366.940168
110	4357.957876
111	4346.509355
112	4342.148664
113	4328.716451
114	4315.39674
115	4297.597796
116	4291.566136
117	4286.557959
118	4274.266826
119	4266.37332
120	4262.855574
121	4259.386617
122	4255.596995
123	4248.432987
124	4243.271866
125	4240.131238
126	4231.885378
127	4225.644911
128	4215.028991
129	4204.650819
130	4201.407346
131	4191.559853
132	4177.474923
133	4169.416368
134	4162.751047
135	4159.708906
136	4156.028196
137	4146.105305
138	4139.721098
139	4136.073726
140	4132.449125
141	4126.885481
142	4119.917225
143	4112.497118
144	4097.582519
145	4095.913794
146	4089.275588
147	4086.842551
148	4079.215004
149	4072.885491
150	4069.86244
151	4062.316535
152	4053.995131
153	4045.411364
154	4041.76442
155	4034.311055
156	4030.746165
157	4025.271589
158	4022.207412
159	4012.407299
160	4007.704199
161	4004.211347
162	4001.54609
163	3993.573435
164	3989.500704
165	3980.532167
166	3972.53018
167	3968.63782
168	3963.83012
169	3958.701701
170	3952.950577
171	3945.433901
172	3943.189094
173	3940.69465
174	3936.398048
175	3935.201582
176	3930.607117
177	3926.581567
178	3923.06902
179	3919.992766
180	3912.022584
181	3909.658322
182	3902.853996
183	3900.318094
184	3896.245572
185	3890.872287
186	3889.909809
187	3883.365444
188	3877.919266
189	3875.02025
190	3870.594729
191	3866.605311
192	3861.928891
193	3856.12309
194	3852.833098
195	3846.41937
196	3843.149367
197	3841.333419
198	3837.684075
199	3832.813346
200	3827.379422
201	3820.097506
202	3814.233489
203	3811.812977
204	3808.391817
205	3805.012568
206	3803.438041
207	3800.23121
208	3795.799843
209	3785.742743
210	3778.884761
211	3774.162436
212	3770.696968
213	3767.480622
214	3762.525792
215	3757.620881
216	3753.884256
217	3749.731644
218	3745.492165
219	3739.949499
220	3738.481522
221	3733.576129
222	3729.486402
223	3724.002472
224	3721.997278
225	3714.897122
226	3712.574036
227	3707.443892
228	3702.962396
229	3700.479804
230	3698.191952
231	3692.117051
232	3690.053964
233	3686.217163
234	3683.965279
235	3679.693811
236	3673.780002
237	3669.860886
238	3663.836299
239	3658.646622
240	3655.847689
241	3652.932494
242	3649.012327
243	3640.502768
244	3636.105846
245	3628.461359
246	3624.298583
247	3620.776817
248	3616.915896
249	3614.559923
250	3613.366499
251	3610.534137
252	3605.706941
253	3602.108855
254	3599.167666
255	3595.685881
256	3591.968058
257	3588.207283
258	3584.631332
259	3582.84792
260	3580.899407
261	3576.258588
262	3571.795361
263	3567.261253
264	3562.178122
265	3560.828206
266	3559.529641
267	3555.443622
268	3551.298652
269	3546.816318
270	3545.144728
271	3540.813858
272	3535.853132
273	3532.80358
274	3530.776497
275	3528.328191
276	3522.407618
277	3518.900245
278	3516.596576
279	3511.129439
280	3508.216833
281	3506.766897
282	3502.934772
283	3501.304542
284	3498.412922
285	3495.652185
286	3493.44579
287	3491.614266
288	3488.077276
289	3482.685066
290	3478.990042
291	3477.28353
292	3473.949923
293	3470.72278
294	3468.055364
295	3464.689046
296	3460.458843
297	3458.861964
298	3456.192192
299	3454.515031
300	3452.777564
301	3450.348815
302	3447.66914
303	3445.62704
304	3437.234226
305	3436.326364
306	3433.622648
307	3429.476071
308	3424.67632
309	3422.447116
310	3418.735289
311	3417.580925
312	3415.672756
313	3412.864168
314	3410.007793
315	3407.954156
316	3405.896127
317	3398.580012
318	3394.905562
319	3391.233465
320	3390.238835
321	3385.732622
322	3380.164243
323	3377.259143
324	3373.042283
325	3370.401925
326	3365.722564
327	3362.16794
328	3358.499624
329	3356.268869
330	3352.887419
331	3350.854367
332	3347.034466
333	3344.472629
334	3341.630916
335	3338.917769
336	3337.040156
337	3333.998823
338	3331.605385
339	3330.291517
340	3327.975997
341	3322.540845
342	3319.834239
343	3317.199085
344	3314.03533
345	3312.391573
346	3310.122343
347	3307.178145
348	3304.541532
349	3297.247988
350	3295.032604
351	3290.31022
352	3288.642561
353	3285.478278
354	3284.316523
355	3283.128289
356	3282.007122
357	3278.252794
358	3277.012072
359	3274.790788
360	3272.084791
361	3268.609989
362	3266.08036
363	3262.214077
364	3257.967096
365	3255.075847
366	3254.165952
367	3251.604958
368	3249.593546
369	3246.101078
370	3243.538683
371	3240.042175
372	3237.237875
373	3235.724705
374	3234.174817
375	3232.068027
376	3229.128852
377	3227.325166
378	3225.135017
379	3224.157335
380	3221.052662
381	3218.133359
382	3214.548033
383	3213.686717
384	3211.419438
385	3210.728833
386	3207.510917
387	3203.945759
388	3203.372154
389	3202.278928
390	3197.035333
391	3195.040831
392	3192.425678
393	3191.584473
394	3185.435259
395	3183.706025
396	3179.786028
397	3178.128176
398	3176.438181
399	3173.7691
400	3172.593205
401	3169.521894
402	3168.189117
403	3166.65705
404	3163.62358
405	3160.115123
