iter	Passed	Remaining
0	42	21390
1	88	22082
2	130	21606
3	174	21614
4	219	21779
5	262	21642
6	310	21837
7	354	21814
8	401	21888
9	443	21723
10	489	21745
11	551	22428
12	597	22392
13	641	22256
14	689	22301
15	734	22219
16	775	22034
17	821	22007
18	870	22033
19	927	22271
20	973	22193
21	1026	22296
22	1070	22193
23	1114	22099
24	1152	21895
25	1208	22022
26	1271	22276
27	1334	22488
28	1390	22589
29	1445	22642
30	1490	22556
31	1544	22589
32	1596	22597
33	1646	22568
34	1689	22447
35	1736	22378
36	1795	22467
37	1839	22367
38	1891	22358
39	1937	22285
40	1989	22277
41	2036	22211
42	2084	22154
43	2144	22220
44	2190	22149
45	2235	22060
46	2274	21924
47	2315	21806
48	2358	21707
49	2398	21587
50	2439	21476
51	2487	21426
52	2535	21385
53	2581	21323
54	2627	21258
55	2667	21151
56	2709	21056
57	2756	21006
58	2793	20881
59	2836	20800
60	2888	20791
61	2962	20926
62	3023	20970
63	3078	20972
64	3136	20989
65	3185	20944
66	3226	20851
67	3265	20748
68	3311	20683
69	3369	20698
70	3417	20650
71	3462	20584
72	3509	20526
73	3556	20472
74	3607	20441
75	3656	20400
76	3701	20332
77	3750	20292
78	3799	20249
79	3841	20166
80	3883	20086
81	3923	20000
82	3969	19942
83	4012	19869
84	4059	19820
85	4107	19773
86	4152	19712
87	4201	19668
88	4247	19614
89	4290	19544
90	4332	19473
91	4375	19403
92	4430	19390
93	4481	19357
94	4536	19341
95	4580	19277
96	4626	19219
97	4665	19139
98	4710	19078
99	4756	19024
100	4811	19006
101	4855	18947
102	4903	18900
103	4948	18841
104	4997	18800
105	5048	18763
106	5096	18718
107	5147	18682
108	5193	18630
109	5245	18598
110	5291	18542
111	5336	18486
112	5385	18443
113	5428	18382
114	5474	18327
115	5526	18295
116	5576	18255
117	5642	18265
118	5680	18188
119	5724	18127
120	5768	18068
121	5819	18032
122	5860	17961
123	5908	17915
124	5954	17864
125	6004	17823
126	6049	17766
127	6092	17707
128	6142	17664
129	6183	17599
130	6229	17546
131	6272	17488
132	6319	17438
133	6370	17399
134	6419	17356
135	6476	17334
136	6522	17282
137	6566	17225
138	6607	17160
139	6659	17124
140	6703	17066
141	6750	17019
142	6790	16952
143	6837	16904
144	6882	16850
145	6935	16817
146	6980	16762
147	7029	16719
148	7075	16666
149	7118	16609
150	7163	16557
151	7212	16511
152	7257	16459
153	7302	16407
154	7345	16349
155	7389	16294
156	7442	16259
157	7490	16213
158	7543	16177
